price,make,model,year,mileage,color,vin,state,country
18300,chevrolet,camaro,2017,28395,black,1g1fb3dx5h0143964,florida,usa
4640,ford,door,2017,36139,blue,1fmcu0g95huc13712,texas,usa
24000,ford,door,2016,84413,black,1ftfw1ef1gfb13670,pennsylvania,usa
13200,gmc,door,2017,33457,white,1gks2gkc5hr326410,california,usa
18000,jeep,compass,2019,29245,gray,3c4njddb0kt686052,north carolina,usa
14900,chevrolet,equinox,2017,12783,silver,2gnalcek7h1548351,florida,usa
4140,ford,door,2017,17617,white,1fmcu0gd5huc78080,texas,usa
11500,ford,door,2016,36855,black,1fmcu9gx9gua57286,pennsylvania,usa
9110,ford,door,2017,110316,white,1ftfw1ef5hkc50264,texas,usa
7350,chrysler,door,2015,88227,black,1c3cccab7fn613884,pennsylvania,usa
24500,bmw,door,2017,17626,gray,wba4f9c51hg439932,michigan,usa
9300,ford,door,2017,120353,white,1ftfw1ef4hkc50286,texas,usa
39800,dodge,challenger,2015,3641,white,2c3cdzc95fh757310,pennsylvania,usa
53500,bmw,m,2017,29355,blue,5ymkt6c37h0x20696,michigan,usa
15110,ford,door,2017,39333,black,1ft7w2bt7hec41164,texas,usa
34000,ford,door,2015,42930,white,1ft8w3b61fec52078,pennsylvania,usa
26502,chevrolet,colorado,2017,24993,black,1gcgtcen4h1158648,michigan,usa
5990,ford,mpv,2017,44929,black,1fm5k7b86hga87008,texas,usa
13600,ford,focus,2018,16971,black,1fadp3m26jl307477,south carolina,usa
23605,cadillac,door,2017,35598,gray,1gyknbrsxhz114969,michigan,usa
10780,ford,mpv,2017,40455,white,1fm5k8ht0hga07252,texas,usa
13800,ford,focus,2018,23164,white,1fadp3j2xjl279400,south carolina,usa
25201,cadillac,door,2017,19011,no_color,1gyknbrs8hz257399,michigan,usa
7070,ford,mpv,2017,45191,white,1fm5k7d82hgb39148,texas,usa
8700,ford,focus,2018,21405,white,1fadp3k23jl219764,south carolina,usa
18003,chevrolet,malibu,2017,19117,no_color,1g1zh5sx7hf141060,michigan,usa
8530,ford,door,2017,42104,black,1fm5k7f80hga03159,texas,usa
23100,dodge,durango,2018,49496,white,1c4rdjdg2jc329601,south carolina,usa
24500,cadillac,door,2017,32418,white,1gykndrs1hz125239,michigan,usa
7000,ford,mpv,2017,29882,white,1fm5k7d84hgc31359,texas,usa
17000,ford,escape,2018,34819,gold,1fmcu9hd6juc54783,south carolina,usa
34002,chevrolet,1500,2017,31923,white,3gcuktej3hg475034,michigan,usa
6980,ford,mpv,2017,29168,gray,1fm5k7d8xhga68751,texas,usa
25000,dodge,charger,2018,28307,silver,2c3cdxjg6jh224431,michigan,usa
20802,chevrolet,colorado,2017,33791,turquoise,1gcgtben3h1180134,michigan,usa
